,Address,Phone,Website,Hours of Service
Enon Tabernacle Baptist Church,"2800 Cheltenham Avenue Philadelphia, PA 19150",(215) 276-7200 x215,,M-Th 10:00 AM-12:00 PM
Environmental Justice Institute/Tides Center,"3158 Davis Street Oakland, CA 94601",(510) 645-5818,www.tides.org,
Ephesus Baptist Church,"219-17 Merrick Boulevard Queens, NY 11432",(718) 479-5138,,
Epiphany Church,"2524 South Keeler Ave Chicago, IL 60623",(773) 521-1112,," Epiphany Food Pantry is open: Mondays, From: 4:00 - 6:00pm  "
Epiphany Episcopal Church,"300 West St. Vacaville, CA 95688",(707) 448-2275,http://epiphanychurchvacaville.org/,
Epiphany House,"1013 S. person St. Raleigh, NC 27601",(919) 743-0807,,
Epiphany Lutheran Church,"14411 Old Columbia Pike Burtonsville, MD 20866",(301) 384-4244,http://www.epiphany-lutheran.org/,
Episcopal Community Services,"165 Eighth Street, 3rd Floor San Francisco, CA 94103",(415) 487-3300,www.ecs-sf.org/,
Episcopal Community Services,"11 East 40th Street Kansas City, MO 64111",(816) 561-8920,www.episcopalcommunity.org,
Episcopal Diocese of East Carolina ,"P.O. Box 1336 Kinston, NC 28503",(252) 522-0885,www.diocese-eastcarolina.org/,
Episcopal Farmworker Ministry,"P.O. Box 160 Newton Grove, NC 28366",() -,,
Episcopal Housing Ministry - Rocky Mount,"4655 Sunset Avenue Rocky Mount, NC 27804",(252) 451-9250,,
Equal Dollars,"4333 Kelly Drive Philadelphia, PA 19129",(215) 951-0300,,
Equal Rights Center,"11 DuPont Circle NW Washington, DC 20036",(202) 234-3062,www.equalrightscenter.org,
Erie DAWN Inc. (Dwellings and Advocacy for Women in Need),"330 East 10th Street Erie, PA 16503",(814) 453-5921,,
Ernest Myatt Children's Development Center,"4926 Fayetteville rd. Raleigh, NC 27603",() -,,
Es Amor Servicios Cristianos,"13330 West Rd #1338 Houston, TX 77041",(832) 688-8794,www.esamorservicoscristianos.com,
Espwam Inc,"540 Olney Avenue Philadelphia, PA 19120",(215) 287-7024,,T 10:00 AM-12:00 PM
Essex Community Church,"Sky Band Hollister, NC 27844",(252) 586-5556,,
Essex County Office For The Aging,"132 Water Street Elizabethtown, NY 12932",(518) 873-3695,www.co.essex.ny.us/ofa.asp, Monday - Friday 8:00 am - 5:00 pm  
Esther Grunblatt Russian Service Center,"67-09 108 St. Queens, NY 11375",(718) 268-5011,,"Monday, Tuesday, Wednesday, Thursday 10:30am-2:30pm"
Eternal Life's Restoration Outreach,"309 Deadrick ave. Knoxville, TN 37921",(865) 637-1707,www.eternallifeharvest.org,
Euclid Hall Senior Housing,"2345 Broadway New York, NY 10024",(212) 787-8600,,
Eva's Village,"393 Main St Paterson, NJ 7501",(973) 523-6220,,
Evangel Temple Assembly of God,"2632 Sunset Road Charlotte, NC 28216",(704) 399-8061,,
"Evangelical Church Christ is the Light, Inc","89-16 48th Ave Queens, NY 11373",(347) 742-7614,,Friday 9am-11am
Evangelical Garifuna Church,"344 Brook Ave. Bronx, NY 10454",(718) 585-6818,,Wednesday 9am - 11am
Evangelical Lutheran Church in America,"8765 W. Higgins Road Chicago, IL 60631",(773) 380-2708,,
Evangelical United Methodist  Church//NextStep Ministries,"111 Devor St Greenville, OH 45331",(937) 548-3211,http://eumchurch.org/,
Evangelistic E's Outreach Ministry,"47 Ellwood Place Cheektowaga, NY 14225",(716) 895-0311,, Wednesdays  11:30AM - 5:30 PM  
Evangelistic Temple of Truth,"307 S Franklin St Wilmington, DE 19805",(302) 654-0190,," wed: 5-8, sat and sun: 9-2  "
Evansville Christian Life Center,"509 South Kentucky Avenue Evansville, IN 47714",(812) 423-9222,,
Evergreen Food Bank,"407 E Main Grangeville, ID 83530",(208) 983-5475,,
Every Day is a Miracle,"411 East 143rd St. Bronx, NY 10454",(347) 618-1162,,Friday 10am-1:30pm. 
Eviction Intervention Services,"150 East 62nd St. New York, NY 10021",(212) 308-2210,members.aol.com/eisny/eis.htm,
Exeter Food Bank,"765 Ten Rod Rd Exeter, RI 2822",(401) 294-3176,,
Expanded Food Nutrition Education Program (EFNEP) for Wyandotte County,"1216 N. 79th Street Kansas City, KS 66112",(913) 299-9300,, -EFNEP classes are conveniently centered around the participants schedule.  
Experience Works,"4401 Wilson Blvd, Suite 1100 Arlington, VA 22203",(703) 522-7272,www.experienceworks.org,
Exponents ARISE,"151 West 26th Street New York, NY 10001",(212) 243-3434,,
Extra Helpings,"Los Angeles Regional Food Bank Los Angeles, CA 90058",(323) 234-3030,,
Ezekiel Baptist Church ,"5701 Grays Ave. Philadelphia, PA 19143",(215) 727-2663,,TH 9:00 AM-3:00 PM;  
F.F.Wesleyan Church,"3728 Davison Rd. Flint, MI 48506",(810) 416-6909,,
F.I.S.H.,"2759 El Camino Road Las Vegas, NV 89146",(702) 735-0300,," M-F, 11am to 1pm, must call for referral  "
Face-to-Face Food Pantry,"11 Maxville Rd. Philipsburg, MT 59858",(406) 859-1810,,
Facilitating Leadership in Youth (F.L.Y.),"PMB 255 Washington, DC 20016",(202) 841-0407,www.flyouth.org/,
Fairbanks Community Food Bank Service,"725 26th Avenue Fairbanks, AK 99701",(907) 457-4273,http://www.fairbanksfoodbank.org/,"does not distribute food on site, call 452-7761 Monday-Friday 10 AM-12 PM to order a food box"
Fairfield City Church,"743 E. Tabor Fairfield, CA 94533",(707) 426-2172,http://citychurch242.org/,
Fairfield County (Lutheran) Food Pantry,"2045 E Main St. Lancaster, OH 43130",() -,,
Fairfield County 211,"108 West Main St Suite C Fairfield, OH 97918",(740) 687-0500 x211,http://www.fairfieldcounty211.org/,"24/7
Residents of Fairfield County must call to schedule an appointment at any food pantry in the county
Also provide additional resources"
Fairfield Interfaith Food Pantry,"9 High St. Fairfield, ME 4937",(207) 453-2828,,
Fairfield Interfaith Food Pantry,"12 New Hall Street Baptist Church Fairfield, ME 04937",(207) 509-9972,,"2nd and 4th Thursdays (Nov/Dec 2nd&3rd Thursdays)
"
Fairview,"239 Anderson Ave Fairview, NJ 7022",(201) 945-5831,,
Faith Alive Family Church,"4817 Hargrove Road Raleigh, NC 27615",(919) 501-2994,,
Faith and Deliverance Tabernacle,"PO Box 2542 Monroe, NC 28111",(704) 282-2253,,
Faith and Hope Baptist Church,"93 Stanwood Street Providence, RI 2907",(401) 781-4192,,
Faith Assemblies,"1014-18 Gates Ave. Brooklyn, NY 11221",,,"Soup Kitchen: Saturday 9:30am-12:00pm
Food Pantry: Satruday 9:30am-12:00pm.
Closed in summer (July-September)"
Faith Assembly Church,"2065 Murray Drive Pearl, MS 39208",(601) 939-5787,http://www.merchantcircle.com/blogs/Faith.Assembly.Church.601-939-5787,
Faith Assembly of God,"1926-1940 Margaret Street Philadelphia, PA 19124",(215) 535-8599,,"T 10:30 AM-2:00 PM;  W 10:30 AM-2:00 PM;  TH 10:30 AM-2:00 PM;  
"
Faith Assembly of God - Soup Kitchen,"1926-1940 Margaret Street Philadelphia, PA 19124",(215) 535-8599,,"T 1:00 PM-2:00 PM;  W 1:00 PM-2:00 PM;  TH 1:00 PM-2:00 PM;  
"
Faith Baptist Church,"428 East A st. Belleville, IL 62221",() -,,
Faith Baptist Church - Food Pantry,"1515 Wistar Road Fairless Hills, PA 19030",(215) 946-7550,,"T 5:00 PM-6:00 PM;  W 8:30 PM-9:30 PM;  SU 12:30 PM-2:00 PM;
"
Faith Baptist Church Pantry,"52 Lake St. Manchester, CT 6042",(860) 951-6758,,
Faith Based Food Distribution,"121 Chauncey Street Brooklyn, NY 11233",(718) 771-8061,,Every other Saturday 8:00am-12:00pm
Faith Bible Church of Vallejo,"901 Solano Ave. Vallejo, CA 94590",(707) 557-7923,http://fbcvallejo.net/,
Faith Chapel Church FCDC,"108 E Price St Philadelphia, PA 19144",(215) 848-9660,,W 12:30 PM-1:00 PM;  TH 11:00 AM-1:00 PM
Faith Chapel Outreach ,"4718-4720 Woodland Avenue Philadelphia, PA 19143",(215) 724-5144,,SA 9:00 AM-2:00 PM;  
Faith Christian Center Food Pantry,"143 Washington St Limerick, ME 04048",(207) 793-8444,,"Wednesdays 6:00-7:00pm
Once a month
Open to anyone
No documentation required
"
Faith Christian Counseling Center,"215 Locust Street Beverly, NJ 8010",(609) 880-3025,,
Faith Church,"8167 Huebner Road San Antonio, TX 78240",(210) 681-8723,,
Faith Coalition for the Common Good,"2208 E. Kansas Springfield, IL 62703",(217) 626-1004,,
Faith Community Church ,"3515 Edgemont Avenue Brookhaven, PA 19015",(610) 874-1729,,"T 7:00 PM-8:00 PM;  
"
Faith Community Food Pantry,"5572 Mercy Way Lafayette, IN 47905",(765) 449-4600,,
Faith Food Ministry,"457 Wellingford Street Charlotte, NC 28213",(704) 597-8249,,
Faith Harvest Food Pantry,"503 E. Beaver St. Morocco, IN 47693",(219) 285-2691,,
Faith Hope Deliverance Christian Center,"646 Oakwood Avenue Sanford, NC 27330",(919) 777-6027,, Tues & Thurs 5-8  
Faith in Place,"70 E. Lake Street, Suite 920 Chicago, IL 60647",(312) 733-4640,www.faithinplace.org,
Faith Love Hope Mission,"H.C. #3 Box 120 Marienville, PA 16239",() -,,
Faith Lutheran Church Food pantry,"5250 E US Highway 36 ste 440 Avon, IN 46123",(317) 718-8110,,
Faith Missionary Baptist Church,"908 Suffolk Boulevard Raleigh, NC 27603",(919) 661-6930,,
Faith Outreach,"623 Madison Street Brooklyn, NY 11221",(718) 453-5610,,
Faith Soldiers Word Ministries,"857 Eastway Drive Charlotte, NC 28215",(704) 567-2128,,
Faith Tabernacle Baptist Church,"106-45 160th Street Queens, NY 11433",(718) 291-0841,,"Wed, Fri 1:00pm-3:00pm"
Faith Tabernacle Church,"5984 Old Hwy 64 East Hayesville, NC 28904",(828) 389-9825,,
Faith Tabernacle Church Of God Ministries,"2433 W. Master Street Philadelphia, PA 19121",(267) 776-1563,,"M-F 9:00 AM-4:00 PM, 2nd Sa 9:30 AM-2:00 PM"
Faith Temple Baptist Church,"367 Bluebell Road Williamstown, NJ 8094",(856) 809-1614,http://www.faithtemplechurchbishophobbs.com/,
Faith Temple C.O.G.l.C.,"3213 W.Cumberland Street Philadelphia, PA 19132",(215) 228-1883,,Th 10:00 AM-11:00 AM
Faith United Baptist Church,"1800 Mulberry Street Chattanooga, TN 37404",(423) 362-1297,,My 28 -July 3 Mon - Fri 12:00am - 1:30pm
Faith United Methodist Church,"4143 Dr. Martin Luther King, Jr. Boulevard New Bern, NC 28562",(252) 633-6826,, M-F 8:30-5 & as needed  
Faith United Methodist Church,"1574 St. Rt. 96 East Ashland, OH 44805",(419) 895-1011,http://www.umcfaith.org/,
Faith United Methodist Church,"221 Heberton Ave New York, NY 10302",(718) 442-5684,http://fumcsi.wix.com/faithumcsi,Call for an appointment first. Ask for Bill or Norcie Morris at (718) 442-5684
Faith United Presbyterian Church,"115 North Avenue 53 Los Angeles, CA 90042",(323) 256-4171,,
Faith Worship Center,"5300 Wister Street Philadelphia, PA 19144",(267) 320-1371 x267,,Th 2:00 PM-5:00 PM
"Faithful Friend Center, Inc.","1707 W 39th Place Hialeah, FL 33012",(786) 208-8891,www.faithfulfriendcenter.org,
Faithful Temple Evangelistic Deliverance Church,"3416 W. Allegheny Ave. Philadelphia, PA 19132",(215) 227-7544 x215,,"Su 3:00 PM-4:00 PM, 3rd W 11:00 AM-1:00 PM"
Faithway Missionary Baptist Fellowship Church,"3308 Hartford Street Portsmouth, VA 23703",(757) 235-5816,,
Fallbrook Food Pantry,"1042 So. Mission Fallbrook, CA 92028",(760) 728-7608,,
Fallis Ridge Apartments I Pennreach,"4349 Ridge Avenue Philadelphia, PA 19129",(215) 848-4116,,"M, W & F 9:00 AM-5:00 PM"
Falls Co. Samaritan House,"154 Live Oak St. Marlin, TX 76661",() -,,
Falmouth Food Pantry,"271 Falmouth Rd Falmouth, ME 04105",(207) 632-2687,,"1st & 3rd Mon. 9-11am, 2nd, 3rd & 4th Tues. 9:30-11:30am, 2nd, 3rd & 4th Thurs. 4:30-6:30pm Twice a month Falmouth, Cumberland, Yarmouth, Westbrook, and once a month for Portland residents Proof of residence



"
FAME CHURCH MISSIONARIES,"2270 S HARVARD BLVD LOS ANGELES, CA 90018",(310) 330-9311,,
Familia Center,"711 E Cliff Drive Santa Cruz, CA 95060",(831) 423-5747,www.familiacenter.org,
Families Forward,"422 C Street NE Washington, DC 20002",(202) 639-9760,http://www.familiesforward.org/,
Family and Children's Service,"191 Bath Ave. Long Branch, NJ 7740",(732) 221-9111,www.fcsmonmouth.org,
Family and Children's Services,"16 Jefferson Avenue Elizabeth, NJ 7201",(908) 372-1007,www.facsnj.org,
Family and Youth Incorporated,"4008-202 Barrett Drive Raleigh, NC 27609",() -,,
Family Center,"705 Summit Avenue East St. Louis, IL 62201",(618) 875-7295,,
Family Center of North Queens ,"23-40 Astoria Blvd. Queens, NY 11102",(718) 726-9790,,"Tuesday, Friday 9:30am - 12:30pm"
Family Challenge,"224 South 12th Street Cottonwood, AZ 86326",(520) 639-3518,,
Family Emergency Shelter Coalition,"22245 Main Street #104 Hayward, CA 94541",(510) 886-5473,www.fescofamilyshelter.org,
Family Farm Defenders,"1019 Williamson St. #B Madison, WI 53703",(608) 260-0900,www.familyfarmdefenders.org, days & hours vary  
Family Food Pantry of Carmel,"87 Damascus Rd Carmel, ME 4419",(207) 299-6637,,
Family Foundations,"437 Robinson Court #105 Pittsburgh, PA 15213",(412) 621-4706,,
Family Gateway. Inc.,"2910 Swiss Avenue Dallas, TX 75204",(214) 823-4500,www.familygateway.org, M-F 8-5  
Family League of Baltimore,"2305 N Charles St Baltimore, MD 21218",(410) 662-5500,www.familyleague.org,8:30 am - 4:30 pm
"Family Life Center, Inc.","PO Box 1744 Smithfield, NC 27577",(919) 989-9441,, Thurs 11-2  
Family Life Development Center,"1476 Bedford Avenue Brooklyn, NY 11216",(718) 636-4938,,Monday 4pm until finish
Family Life Development Center Food Pantry,"1476 Bedford Avenue Brooklyn, NY 11216",(718) 636-4938,,
Family Life Support Center,"395 Old Columbia Street Dams, MA 1220",(413) 743-7957,,
Family Pathways Cambridge Food Pantry,"538 S Main St, Suite 120 Cambridge, MN 55008",(763) 552-3663,,
Family Pathways Lindstrom Food Pantry,"12882 1st Ave N Lindstrom, MN 55045",(651) 257-1308,,
Family Pathways North Branch Food Pantry,"6381 Main St North Branch, MN 55056",(651) 674-8313,,
Family Promise of Bergen County,"479 Maitland Avenue Teaneck, NJ 7666",(201) 833-8009,http://www.bergenfamilpromise.org/,
Family Resources of New Orleans,"13110 Highway 90 Boutte, LA 70039",(985) 785-0570,,
Family Self Sufficiency - Burlington Housing Authority,"191 N Street Burlington, VT 5401",(802) 863-6248,,
Family Services Network of New York,"1420 Bushwick Ave Brooklyn, NY 11207",(718) 455-6010,,Monday & Wednesday 9am - 1pm
Family Services of McDowell County,"P.O. Box 1572 Marion, NC 28752",(828) 652-8538,,
Family Support Center,"120 Gale Street Aurora, IL 60506",(708) 897-1009,,
"Family Support Circle, Inc","2059 A Chelten Avenue Philadelphia, PA 19138",(484) 558-0657,,T & Th 4:00 PM-6:00 PM
"Family Support Network, International","14316 75th Ave., NE Bothell, WA 98011",(206) 240-2241,www.familynetwork.org,
Family to Family Project,"P.O. Box 440482 Somerville, MA 2144",(617) 625-3443,,
"Family Tree, Inc.","Comprehensive Housing & Services Wheat Ridge, CO 80033",(303) 467-2604,www.thefamilytree.org/,
"Family Unifying Network, Inc.","101 S. 7 Street Wymore, NE 68466",(402) 645-8252,www.frccn.org/fun," Mon - Fri 8:30am -12:30pmMon, Wed, Fri 1:00 - 4:00pm  "
Family Violence Coalition of Yancey,"P.O. Box 602 Burnsville, NC 28714",(828) 682-5655,,
"Family, Food and Friendship Center","2901 N 13th Street St. Louis, MO 63107",(314) 421-4481,,
Fare and Square ,"3117 W 9th street Chester, PA 19013",(484) 483-2500,,2nd W 12:00 PM-1:00 PM;  
FareStart,"700 Virginia Street Seattle, WA 98101",(206) 267-7608,http://www.farestart.org/,
Faribault County Human Services Center,"412 North Nicollet Blue Earth, MN 56013",(507) 526-3265,http://www.fmchs.com/,
FARM (Farm Animal Reform Movement),"10101 Ashburton Lane Bethesda, MD 20817",(301) 530-1737,http://www.farmusa.org/,
Farm Alliance of Rural Missouri,"P.o. Box 15 Hallsville, MO 65255",() -,,
Farm Fresh Rhode Island,"Box 1943 Providence, RI 2912",() -,www.farmfreshri.org,
Farm Labor Organizing Committee,"1221 Broadway St. Toledo, OH 43609",(419) 243-3456,,
"Farm Share, Inc.","300 N. Krome Avenue Florida City, FL 33034",(305) 246-3276,www.Farmshare.org, Mon-Fri8-4:30  
"Farm to Table, Inc.","3900 Paceo del Sol Santa Fe, NM 87507",(505) 473-1004,,
"Farmers' Legal Action Group, Inc.","360 Robert Street North Saint Paul, MN 55101",(651) 223-5400,www.flaginc.org,
Farmington Food Pantry,"75 Main St Farmington, CT 6032",(860) 674-8694,,
Farmland Friends Church,"8311 W. State Road 32 Farmland, IN 47340",(765) 468-6485,,
Farmworker Association of Florida,"Office For Farmworker Ministry Apopka, FL 32703",(407) 886-5151,,
Farmworker Coordinating Council of Palm Beach County,"1010 Tenth Avenue North, Suite 1 Lake Worth, FL 33460",(561) 533-7227,,
"Farmworker Ministry, Inc.","318 West Bridgers Ave Auburndale, FL 33823",(863) 967-9583,hometown.aol.com/mdiaz79624/FarmworkerMinis,
"Farmworkers Self-Help, Inc.","37240 Lock Street Dade City, FL 33523",(352) 567-0200,www.fshflorida.org/,
Farrell Treatment Center,"586 Main Street New Britain, CT 6051",(860) 225-4641,,
Father Bills & MainSpring,"38 Broad Street Quincy, MA 2169",(617) 770-3314,,
Father Creavin's Food Pantry,"211 W. 141st New York, NY 10039",(212) 690-7555,,Saturday 8:30am
Father's House of Prayer Missionary Baptist Church,"3040-50 Germantown Avenue Philadelphia, PA 19133",(215) 225-3530 x215,,F 3:30 PM-5:30 PM
Fayette Baptist Church,"39 Baldwin Hill Rd Fayette, ME 04349",(207) 685-9492,,
"Fayette County Community Action Agency, Inc.","108 North Beeson Avenue Uniontown, PA 15401",(724) 437-6050,http://www.fccaa.org/,
Fayette County Community Action Foodbank,"140 North Beeson Boulevard Uniontown, PA 15401",(724) 430-3011,http://www.fccaa.org/,
FCF (MVP) FOOD PANTRY,"23 CRESTMORE DRIVE GREENVILLE, SC 29611",(864) 213-7345,,
FEAST Council,"315 Sanborn Ashland, WI 54806",(715) 682-9117,,
Feast of Justice - CSFP/senior box program,"3101 Tyson Ave. Philadelphia, PA 19149",(215) 268-3510,,Thursday-(12pm-3pm) or when open:Tues-9am-11:30am;Weds-5pm-7:30pm;Fri-9am-11:30am;Sat:2pm-4:30pm
Feast of Justice - Food Pantry,"3101 Tyson Avenue Philadelphia, PA 19149",(215) 268-3510,,T 9:00 AM-11:30 AM;  W 5:00 PM-7:30 PM;  F 9:00 AM-11:30 AM;  SA 2:00 PM-4:30 PM;  
Feast of Justice - Soup Kitchen,"3101 Tyson Avenue Philadelphia, PA 19149",(215) 268-3510,,T 12:00 PM-1:00 PM;  
Featherfist,"2255 E. 75th Street Chicago, IL 60649",(773) 721-7088,,
Federal Way Senior Center Food Pantry,"4016 S. 352nd Auburn, WA 98001",(253) 838-3604,,
Girls Quest,"150 West 30th Street New York, NY 10001",(212) 532-7050,www.girlsquest.org,
Give Them To Eat,"800 East 156th St. Bronx, NY 10455",(718) 993-1260,,
Giving of Self Partnership,"6101 Limekiln Pike Philadelphia, PA 19141",(215) 927-6100,,"Pantry: M, T, W & F 10:00 AM-4:00 PM; CSFP: M, T, W, & F 9:00AM-4:00PM"
Giziibii Resource Conservation and Development Association,"3217 Bemidji Ave. N Bemidji, MN 56601",(218) 751-1942,,
Gladstone Education Foundation,"18800 Portland Avenue Gladstone, OR 97207",(503) 655-2777,www.gladstone.k12.or.us,
Glasglow Reformed Presbyterian,"2880 Summit Bridge Road Bear, DE 19701",(302) 834-4772,http://www.grpc.org/, mon to fri: 8-4  
Glassport AG Food Bank,"210 Fifth Street PO Box 73 Glassport, PA 15062",(724) 469-1740,,
Glassport Assembly of God Food Bank,"210 5th Street Monessen, PA 15045",(412) 672-9002,http://www.glassportag.com/,
Gleaners Community Food Bank of Livingston,"Headquarter Detroit, MI 48207",(313) 923-3535,,
"Gleaners Food Bank of Indiana, Inc.","1102 E 16th St. Indianapolis, IN 46202",(317) 925-0191 x104,http://www.gleaners.org/, Monday through Friday 6:30am to 5:00pm  
"Gleaners of Clackamas County, Inc.","13821 Fir Street Oregon City, OR 97045",(503) 655-8740,,
Glen Ed Food Pantry,"337 South Main st. Edwardsville, IL 62025",(618) 656-7506,http://www.glenedpantry.org/home,
Glen Kirk Presbyterian Church,"767 Calf Mountain Road Waynesboro, VA 22980",(540) 943-2896,,
Glenwood Freewill Baptist Church,"1015 Rockingham Road Rockingham, NC 28379",(910) 997-4811,,
